fico,aprv_flag,amtfinanced_1req,collateral_dlrinput_newused_1req,pti_1req,ltv_1req,p12_reh7120_a,p12_bcx7110_a,p12_all7170_a,p12_aut7110_a,p12_all7120_a,p12_all7937_a,p12_bcc8120_a,p12_iln7410_a,p12_rev1300_a,p12_all8150_a,p12_bca8370_a,p12_all7517_a,p12_iln8220_a,p12_all6250_a,p12_aua8151_a,p12_rtr7110_a,p12_pil8120_a,p12_aua0300_a,p12_all7938_a,p12_bcc3456_a,p12_all8370_a,p12_aua8220_a,p12_als1300_a,p12_aua6200_a,p12_all2427_a,p12_alm6200_a,p12_all6971_a,clntr9437_a,clact9429_a,clall5010_a,clall2434_a,cloil0214_a,cltra4405_a,clact9428_a,bad_flag,Gender,Race
691,1,49273,USED,10.85,107.58,35,5,0,87,87,92,10,13,6,5,11,70,122,1,,2,4,1,86,0,16,10,22,1,0,400,120,0,0,,,,,0,0,Male,White
558,0,32380,USED,12.09,105.04,,,1,85,158,80,22,75,6,17,30,0,133,400,17,,121,6,65,0,45,128,9,60,0,400,1,0,0,,,,,0,0,Undefined,Black
714,0,16196,USED,8.14,171.39,0,0,0,55,55,57,1,33,12,42,101,25,137,1,,,,3,67,0,86,137,15,1,0,400,1,,,,,,,,0,Female,Hispanic
446,0,4793,USED,5.36,36.24,88,88,20,65,88,40,16,67,2,1,16,33,25,30,0,,10,1,50,0,16,23,3,400,1,400,400,6,13,,,,,0,0,Female,White
835,1,52145,NEW,11.23,76.18,1,0,0,68,91,100,211,17,6,,263,0,160,1,,0,,6,100,4,127,160,20,1,0,1,1,0,0,,,,,0,0,Female,White
713,1,44944,USED,10.18,129.46,97,88,0,95,97,100,30,38,5,,95,33,142,1,,2,21,5,100,2,59,56,14,1,0,1,1,2,2,,,,,0,0,Male,White
667,0,35535,NEW,11.48,114.94,7,3,0,100,100,67,3,25,4,,11,75,120,1,,,120,3,67,0,13,88,8,1,0,400,1,4,7,,,,,1,0,Female,White
744,1,79843,NEW,12.43,103.44,69,49,0,29,108,100,37,100,10,,44,15,65,1,,6,23,2,100,1,36,65,13,1,0,120,1,0,0,,,,,0,0,Female,Black
730,1,30888,USED,6.54,103.17,70,32,0,63,77,100,2,50,6,,43,38,118,1,,2,21,5,100,2,36,118,12,1,0,1,1,,,,,,,,0,Male,Black
810,1,19750,USED,6.74,82.98,0,0,0,,100,100,254,0,3,,254,25,143,1,,0,128,1,100,1,88,143,10,1,0,1,1,0,0,,,,,0,0,Female,Asian
652,1,28842,USED,4.66,111.36,100,87,0,,100,100,17,100,3,,22,50,69,1,,0,,1,100,0,28,9,4,1,0,1,1,5,5,0,,,0,2,0,Male,Hispanic
800,1,14512,USED,8.81,117.74,0,0,0,,89,100,84,0,7,,45,0,58,1,,,41,2,100,1,36,58,11,1,0,1,1,,,,,,,,0,Male,Hispanic
645,0,24466,USED,14.88,111.63,96,96,0,59,96,44,67,7,5,,50,0,147,1,,72,61,7,44,2,25,111,21,1,0,1,1,,,,,,,,0,Female,Asian
594,0,25302,USED,10.68,101.13,0,,0,,74,43,,100,2,,,33,91,1,,0,8,0,43,,33,91,3,400,0,400,1,,,,,,,,0,Male,Hispanic
815,1,24287,NEW,7.12,49.04,0,0,0,,100,100,147,14,8,,119,0,202,1,,0,62,2,100,1,96,148,14,1,0,1,1,,,,,,,,0,Female,White
553,0,22260,USED,8.66,98.69,87,19,0,93,126,81,31,39,4,8,39,22,124,400,,,2,9,78,1,21,124,29,1,0,400,400,4,6,7976,,,,3,0,Female,White
566,0,20099,USED,8.72,121.44,101,101,0,,101,33,15,,1,,15,0,66,400,,,,0,33,0,11,66,1,400,0,400,400,1,1,,,,,1,,Female,Hispanic
600,0,17894,USED,3.28,120.91,85,51,0,,85,82,17,0,9,29,24,0,42,400,,38,16,0,86,0,20,,11,,0,400,400,1,1,1739,,,,0,0,Female,White
876,1,9205,USED,3.78,38.36,6,4,0,,57,100,47,0,17,,105,0,46,1,,0,,1,100,2,127,46,21,1,0,1,1,,,,,,,,0,Male,Other
652,1,46165,NEW,10.58,76.95,95,38,0,,95,80,1,,6,42,29,20,,30,,,,0,86,1,29,,6,,0,400,400,0,0,,,,,0,0,Male,Hispanic
662,0,90001,NEW,5.95,109.4,95,73,0,91,122,100,16,15,22,,104,8,214,1,,61,5,27,100,5,54,155,58,1,0,1,1,1,1,,,,,0,0,Female,Black
657,1,19126,USED,3.6,88.97,21,21,0,,21,80,5,,4,,19,67,,1,,0,,0,80,0,14,,4,,0,1,400,2,2,,,,,1,0,Female,White
846,1,12484,USED,6.5,55.61,0,0,0,,79,100,7,8,18,,134,25,154,1,,0,17,4,100,1,49,154,31,1,0,1,1,,,,,,,,0,Female,White
647,1,43502,NEW,15.83,97.46,0,0,0,55,55,50,9,5,1,23,13,50,99,400,,,43,1,29,0,25,85,19,400,0,400,1,0,0,0,,,,0,0,Female,White
802,1,15566,USED,12.28,109.43,6,6,0,,41,100,46,67,3,,46,0,81,1,,0,,0,100,1,49,,3,,0,1,1,0,0,,,,,0,0,Female,White
728,1,33250,USED,11.85,113.38,94,40,0,,94,100,52,50,10,29,65,22,113,60,29,19,7,2,100,2,49,106,13,30,0,60,1,0,0,,,,,0,0,Male,Hispanic
814,1,38473,USED,14.98,118.11,23,0,0,85,85,100,43,25,4,,41,25,80,1,,23,,4,100,2,25,80,10,1,0,1,1,0,0,,,,,0,0,Male,White
649,1,15618,USED,3.81,72.81,90,,3,,99,71,47,0,6,17,95,67,117,90,,82,35,0,67,0,53,,8,,0,400,1,0,0,,,,,0,0,Female,Hispanic
834,1,30628,NEW,7.93,75.55,29,15,0,36,100,100,8,62,17,,62,6,140,1,,0,14,5,100,4,59,140,23,1,0,1,1,,,,,,,,0,Male,White
556,0,20349,NEW,15.63,115.02,,,15,28,121,33,35,50,0,,25,0,94,400,,,,2,33,0,37,72,1,400,0,400,400,1,2,524,0,,0,2,0,Female,White
785,1,33461,NEW,6.15,108.96,6,6,0,88,100,100,99,38,9,,108,40,162,1,,0,6,8,100,1,49,162,26,1,0,400,1,,,,,,,,0,Female,White
758,1,39090,USED,15.2,150.06,,,0,52,103,100,,29,5,,,0,146,1,,,146,5,100,,25,137,11,1,0,1,1,,,,,,,,0,Female,Hispanic
807,1,10289,USED,4.72,79.76,5,3,0,17,96,100,60,33,3,74,74,17,189,1,,0,,5,100,1,41,78,11,1,0,60,1,,,,,,,,0,Male,Black
642,1,58014,USED,8.79,106.35,11,11,3,76,198,83,23,83,2,10,23,5,156,400,10,,9,3,83,0,86,108,4,60,0,400,30,4,5,0,,,,0,0,Male,Black
723,1,55448,NEW,8.77,108.24,42,25,0,72,100,100,21,24,15,25,56,29,193,1,69,40,9,6,100,0,41,179,35,30,0,60,1,4,5,11992,,,0,0,0,Male,Other
818,1,64290,NEW,4.28,100,22,4,0,,99,100,2,17,24,,82,27,193,1,,0,4,3,100,7,66,128,35,1,0,1,1,,,,,,,,0,Male,White
801,1,18860,USED,10.04,67.36,0,63,0,,99,100,10,7,4,,57,25,165,1,,,91,2,100,1,44,105,19,1,0,1,1,,,,,,,,0,Male,White
792,1,19065,USED,5.43,85.55,30,2,0,77,85,100,58,25,15,,167,17,121,1,,25,49,5,89,6,152,121,22,1,0,400,1,,,,,,,,0,Male,White
740,0,29278,USED,16.42,133.08,26,26,0,81,102,100,6,100,1,,6,25,22,1,,,,1,100,0,18,21,2,1,0,1,1,1,1,,,,,0,0,Female,White
701,1,57144,USED,11.97,104.71,95,38,0,78,98,100,27,7,7,61,95,57,135,1,47,59,30,10,100,0,45,135,21,60,0,60,1,0,0,0,,,,0,0,Undefined,White
698,1,8921,USED,4.95,128.36,92,88,0,71,92,80,7,100,2,,8,50,170,1,,,170,1,80,0,52,24,4,1,0,1,1,,,,,,,,0,Female,Black
665,1,22078,NEW,7.42,64.18,63,50,0,,71,100,23,100,4,,35,20,3,1,,55,3,0,100,1,25,,5,,0,1,1,0,0,,,,,0,0,Male,White
729,1,33688,USED,6.41,72.49,92,42,0,,92,100,27,0,8,,66,0,213,1,,0,,1,100,4,83,74,9,1,0,1,1,,,,,,,,0,Undefined,Other
709,1,20511,USED,10.7,117.37,30,30,0,33,123,100,4,83,1,77,4,18,92,1,77,,,3,100,0,42,91,3,30,0,30,1,,,,,,,,0,Male,Black
670,1,16539,USED,13.63,100.73,100,20,0,,100,100,2,0,20,28,39,39,82,30,28,1,82,1,100,2,38,37,22,30,0,30,1,,,,,,,,0,Female,White
693,0,51155,NEW,19.52,129.72,83,30,0,91,91,100,7,100,3,,11,75,9,1,,,,1,100,0,10,9,4,1,0,1,1,2,3,,,,,0,0,Female,Hispanic
653,1,34099,USED,8.32,105.9,,,0,75,99,80,36,33,0,25,28,33,91,400,,,78,5,57,0,21,91,7,1,0,400,1,,,,,,,,0,Female,White
738,1,30893,NEW,7.28,82.48,7,6,0,,7,80,61,0,10,,84,0,165,1,,0,,0,83,2,104,,10,,0,1,1,,,,,,,,0,Male,Asian
661,0,27268,USED,21.21,94.03,0,,0,57,88,55,32,67,5,7,33,20,40,1,,0,9,2,58,0,23,40,8,1,0,30,400,,,,,,,,0,Male,White
769,1,35809,NEW,14.66,84.67,10,7,0,,10,100,3,,2,,34,50,,1,,,,0,100,2,34,,2,,0,1,1,,,,,,,,0,Female,Other
756,1,60200,USED,7.24,108.62,47,33,0,99,99,100,27,33,5,52,49,25,77,1,,,,3,88,1,67,77,8,1,0,30,1,0,0,,,,,0,0,Female,White
601,1,23377,NEW,9.5,89.05,114,100,0,,114,67,13,33,7,6,24,0,233,1,,92,112,0,67,0,39,,9,,0,30,30,0,0,,,,,0,0,Male,Asian
577,0,23261,USED,9.15,106.46,0,,,,0,43,,0,2,10,,100,80,30,,0,73,1,43,,15,43,4,1,0,400,30,1,1,0,,,,0,0,Male,White
721,1,20264,USED,4.41,101.5,84,84,0,89,89,100,56,18,13,46,55,22,136,1,,16,20,5,100,0,48,136,27,1,0,30,1,,,,,,,,0,Male,Hispanic
646,1,8124,USED,5.45,129.47,2,0,22,15,86,63,8,33,7,27,85,25,122,400,,,,3,70,0,72,122,13,1,0,400,1,0,0,,,,,0,0,Male,White
629,1,13273,USED,5.42,136.93,96,89,0,,96,100,30,0,6,,38,0,39,1,,,14,1,100,1,29,39,10,1,0,1,1,0,0,0,,,,0,0,Female,White
679,1,29719,NEW,14.81,119.12,,,0,85,126,100,,100,,,,6,81,1,,,10,2,100,,47,25,3,1,0,1,1,0,0,,,,,0,0,Male,White
845,1,18643,USED,6.93,140.48,5,3,0,,5,100,66,0,17,,139,9,169,1,,0,169,1,100,2,89,133,19,1,0,1,1,,,,,,,,0,Male,Other
655,1,20152,NEW,8.76,84.2,0,0,,,0,67,2,0,2,29,3,100,84,400,29,,,2,80,0,21,84,3,30,0,400,1,1,4,,,,,0,0,Female,Hispanic
673,1,15289,USED,13.41,99.77,84,58,0,,84,100,10,100,2,,25,33,35,60,,,,1,100,0,29,35,3,1,0,60,1,0,0,,,,,0,0,Female,White
744,1,21596,NEW,2.45,100.1,85,39,0,76,98,100,40,25,32,,55,10,85,1,,1,7,9,100,4,30,85,49,1,0,1,1,3,7,,,,,3,0,Male,White
649,1,28568,USED,9.28,107.21,24,24,0,98,112,69,14,14,5,18,14,60,82,1,,0,12,4,74,0,11,29,26,1,0,400,1,2,3,,,,,0,0,Male,White
780,1,27203,USED,7.39,94.13,74,32,0,81,95,100,2,50,27,,75,14,195,1,,2,13,7,100,4,73,195,39,1,0,1,1,,,,,,,,0,Female,Asian
628,0,24956,USED,13.74,115.59,,,0,,69,100,,50,,13,,0,112,30,,,17,1,50,,18,112,3,1,0,30,1,,,,,,,,0,Male,Black
761,1,10951,USED,3.52,35.92,,,0,,98,100,57,0,6,,26,100,157,1,,,157,1,100,0,31,31,11,1,0,1,1,,,,,,,,0,Male,Hispanic
733,1,88202,USED,6.85,99.67,57,4,0,90,90,93,8,50,26,0,60,17,36,1,,0,36,1,94,6,53,12,29,1,0,400,30,0,0,,,,,0,0,Female,White
710,1,31380.75,NEW,11.17,117.48,16,7,0,,16,57,13,0,3,42,18,0,156,90,,,156,1,67,0,56,49,6,1,0,90,400,0,0,,,,,0,0,Female,Black
660,1,49676,USED,11.98,113.03,97,92,0,94,99,100,47,25,1,60,92,25,101,1,,,13,12,100,0,24,101,20,1,0,400,1,,,,,,,,0,Male,Black
738,0,28325,USED,21.99,109.26,2,1,0,,110,100,8,83,3,,14,44,45,1,,,10,1,100,0,22,18,6,1,0,1,1,,,,,,,,0,Male,White
559,0,17075,USED,8.73,103.17,77,77,35,79,116,63,2,40,2,,2,50,191,1,,9,191,3,50,0,44,44,4,400,0,400,400,1,5,,,,,5,0,Male,Hispanic
691,1,19070,USED,8.55,100.24,,,0,39,39,100,,50,,,,0,41,1,,,,2,100,,23,41,2,1,0,1,1,,,,,,,,0,Female,Hispanic
518,0,40261,USED,3.26,94.76,,,1,96,158,50,58,71,0,39,7,10,101,400,39,,40,4,17,,51,74,4,30,0,400,400,1,2,,,,,0,0,Male,White
613,0,22188,USED,7.77,92.47,40,31,0,,41,83,3,17,5,33,11,40,73,120,,,16,0,83,0,11,,7,,0,400,400,,,,,,,,0,Female,Hispanic
628,1,34427,NEW,7.54,124.2,69,69,0,54,108,83,17,78,2,17,17,20,225,1,17,,8,2,67,0,87,86,5,60,0,400,1,1,1,,,,,0,0,Female,Black
765,0,9143,USED,5.32,143.42,28,8,0,,28,100,3,,2,,8,100,,1,,,,0,100,0,8,,2,,0,1,1,0,0,,,,,0,0,Male,White
607,0,17224,USED,7.79,85.27,80,56,0,,80,100,32,,0,17,34,0,,120,,,,0,0,0,34,,0,,0,120,1,0,0,,,,,0,0,Male,Hispanic
673,1,30921,NEW,10.57,127.4,68,62,0,,68,88,31,29,1,27,97,0,150,30,,,70,1,88,0,69,125,5,1,0,400,1,,,,,,,,0,Female,White
836,1,46166,USED,5.11,90.94,4,4,0,,97,100,29,0,6,,56,50,213,1,,,132,4,100,1,50,116,19,1,0,1,1,,,,,,,,0,Female,White
617,0,31969,USED,15.79,130.09,,,0,9,86,100,,50,,14,,50,44,1,14,,9,3,75,,14,44,3,30,0,30,1,1,1,,,,,0,1,Male,White
777,1,17357,USED,11.43,61.69,1,0,0,83,83,100,13,100,3,,28,0,13,1,,,,1,100,1,24,13,4,1,0,1,1,,,,,,,,0,Undefined,Hispanic
760,1,25309,NEW,9.09,104.48,51,0,0,,51,100,7,,3,,86,67,,1,,51,,0,100,1,60,,3,,0,1,1,,,,,,,,0,Female,White
844,1,17211,USED,5.21,79.51,25,0,0,49,90,100,69,50,12,,135,13,124,1,,22,23,3,100,1,89,124,21,1,0,1,1,,,,,,,,0,Female,Hispanic
804,1,27646,USED,6.57,86.11,43,24,0,,80,100,54,0,6,,156,0,135,1,,16,,4,100,2,89,128,11,1,0,1,1,,,,,,,,0,Male,White
702,1,23577,USED,12.4,117.94,96,96,0,6,96,100,26,100,1,,26,0,124,1,,,,1,100,0,45,20,2,1,0,400,1,,,,,,,,1,Female,White
590,0,34983,USED,13.72,93.79,97,27,0,52,98,93,2,23,27,1,53,9,525,1,,51,16,6,93,6,74,165,38,1,0,30,30,,,,,,,,0,Female,Hispanic
851,1,71177,NEW,3.27,97.84,8,8,0,,94,100,37,33,9,,97,0,114,1,,0,,3,100,1,48,114,20,1,0,1,1,,,,,,,,0,Female,White
761,1,32222,USED,7.3,126.07,37,23,0,91,91,100,21,50,2,,26,33,19,1,,,,2,100,0,18,19,4,1,0,1,1,,,,,,,,0,Female,White
728,1,50895,USED,13.17,106.04,1,1,0,,99,75,93,100,3,,146,33,2,1,,,2,0,75,1,97,,6,,0,400,1,,,,,,,,0,Female,White
773,1,37235,NEW,18.08,93.58,5,5,0,,5,100,28,0,2,,33,0,22,1,,,,1,100,0,28,22,3,1,0,1,1,,,,,,,,0,Male,White
799,1,33813,NEW,11.12,102.48,79,8,0,46,79,100,17,50,12,,57,0,43,1,,46,,2,100,5,68,43,16,1,0,1,1,,,,,,,,0,Female,Hispanic
825,1,11937,USED,3,77.05,16,6,0,,97,100,81,25,13,,38,14,111,1,,16,15,2,100,1,30,73,21,1,0,1,1,,,,,,,,0,Male,Other
699,1,23355,NEW,8.16,84.86,102,93,0,,102,100,168,0,20,,193,0,97,1,,33,,1,100,4,149,97,22,1,0,1,1,,,,,,,,0,Male,White
692,1,41179,USED,6.7,109.59,70,70,0,73,73,100,22,50,6,17,22,57,35,30,17,3,,2,86,0,11,35,7,30,0,30,1,0,1,,,,,1,1,Female,White
814,1,30100,NEW,4.69,77.01,41,15,0,72,73,100,60,15,13,,123,0,120,1,,,,13,100,0,66,120,29,1,0,1,1,,,,,,,,0,Male,Black
678,1,39042,NEW,12.19,125.65,34,34,1,30,119,82,81,88,1,,81,13,143,1,,,1,1,82,0,58,72,4,1,0,400,400,6,11,,,,,4,0,Female,Hispanic
780,1,16632,USED,8.96,87.54,59,39,0,35,65,100,27,18,4,,69,25,132,1,,,59,4,100,1,40,132,9,1,0,1,1,,,,,,,,0,Male,Black
850,1,39724,NEW,17.62,72.5,13,0,0,,92,100,243,50,9,,283,0,158,1,,,,1,100,4,152,158,14,1,0,1,1,,,,,,,,0,Female,Black
765,1,18351,USED,1.28,93.36,26,8,0,,26,100,17,0,13,,26,0,44,1,,0,,1,100,4,23,44,14,1,0,1,1,,,,,,,,0,Male,White
640,1,46228,USED,11.8,133.22,20,,6,33,99,70,35,20,6,19,25,40,127,400,,20,45,5,76,1,27,127,19,1,0,400,1,,,,,,,,0,Male,White
747,1,27464,NEW,1.08,118.77,38,,0,,38,100,2,0,4,,15,0,70,1,,38,23,3,100,1,40,70,9,1,0,1,1,,,,,,,,0,Male,White
739,0,33961,NEW,7.98,99.15,93,40,0,73,103,92,5,50,44,,46,14,111,1,,4,,5,92,5,41,111,51,1,0,1,1,,,,,,,,0,Male,White
779,1,36669,USED,15.33,114.33,1,0,0,,92,100,3,50,6,22,30,60,15,1,,0,3,1,89,1,21,15,8,1,0,30,1,,,,,,,,0,Male,White
557,0,28511,USED,11.6,103.02,31,,1,,167,55,,91,1,,,17,117,400,,31,45,0,55,,56,,2,,0,400,120,,,,,,,,0,Male,Black
689,1,31854,NEW,13.22,89.48,43,21,31,,43,50,11,100,4,,21,100,7,400,,,7,0,50,0,34,,5,,0,400,1,,,,,,,,0,Male,White
657,0,34762,NEW,13.67,139.51,92,75,0,94,115,100,12,12,9,21,72,14,201,30,28,9,60,3,89,1,67,138,12,30,0,120,1,0,0,,,,,0,0,Female,White
666,1,27949,USED,4.24,81.73,95,71,0,,95,82,41,0,7,8,107,0,81,1,,25,81,0,21,1,84,,8,,0,400,120,,,,,,,,0,Male,White
640,0,40286,NEW,13.77,97.51,24,24,96,,24,78,7,0,10,,12,25,130,400,,0,17,1,75,0,31,130,13,1,0,400,400,0,0,0,,,,0,0,Female,Black
853,1,24301,USED,12.07,110.46,1,1,0,,1,100,127,0,8,,169,0,204,1,,,131,2,100,1,150,156,12,1,0,1,1,,,,,,,,0,Female,Hispanic
685,1,22759,NEW,10.6,90.08,96,57,0,63,96,46,14,25,5,,34,0,48,1,,,19,2,50,0,25,48,9,1,0,1,1,3,3,0,,,,1,0,Male,White
690,1,53683,NEW,5.69,101.24,74,44,0,82,87,89,15,14,13,53,34,20,84,1,,20,19,2,91,0,21,19,26,1,0,400,1,0,0,645,,,,0,0,Male,Hispanic
762,1,46241,NEW,12.97,81.85,0,0,0,89,91,100,6,100,7,,14,80,9,1,,,,2,100,0,13,9,9,1,0,1,1,,,,,,,,0,Male,White
671,1,34826,USED,13.36,125.73,91,30,0,,97,100,35,35,9,76,42,29,161,1,78,17,8,3,100,0,19,100,27,30,0,30,1,3,3,8738,0,,0,0,0,Female,White
733,0,7894,USED,9.68,108.51,1,,0,,95,100,147,,1,,75,50,,1,,,,0,100,1,75,,2,,0,1,1,,,,,,,,0,Undefined,White
698,1,8183,USED,6.34,93.52,,,0,,51,100,,100,,,,0,130,1,,,,0,100,,71,,1,,0,1,1,0,0,,,,,0,0,Female,Asian
640,1,9507,USED,8.18,65.91,25,,0,,25,75,34,0,3,,34,0,72,400,,,,2,75,1,28,72,4,400,0,400,1,,,,,,,,0,Female,Hispanic
706,1,33740,USED,10.89,71.96,72,54,0,50,86,100,22,43,5,,43,0,80,1,,55,26,6,100,3,29,80,12,1,0,1,1,,,,,,,,0,Male,Hispanic
580,1,34179,USED,11.95,98.9,71,71,32,60,71,43,76,22,1,2,81,0,136,1,,,37,4,43,1,51,128,12,1,0,400,30,0,0,,,,,0,0,Male,Black
688,1,32302,USED,10.34,104.2,84,66,0,2,100,100,3,33,10,19,44,33,92,1,,43,92,2,91,1,37,59,15,1,0,30,1,,,,,,,,0,Female,White
816,1,40911,NEW,9.31,83.16,12,2,0,,95,100,25,0,9,,77,11,157,1,,0,98,2,100,6,71,157,14,1,0,1,1,,,,,,,,0,Male,Hispanic
737,1,19492,NEW,2.43,61.71,94,36,0,67,95,100,76,33,6,,146,0,126,1,,,,3,100,3,89,126,14,1,0,1,1,,,,,,,,0,Female,White
645,0,27477,USED,7.42,91.1,,,,,,25,24,0,6,,19,,211,400,,,211,4,31,0,21,83,10,400,0,400,400,3,3,,,,,0,0,Female,White
808,1,36045,USED,17.4,100.29,0,0,,,0,100,93,0,8,,77,0,132,1,,0,,1,100,1,70,132,9,1,0,1,1,,,,,,,,0,Undefined,Hispanic
682,1,23758,USED,2.88,100.99,97,77,0,50,98,100,4,27,10,,53,10,157,1,,,24,8,100,5,37,157,26,1,0,1,1,,,,,,,,0,Female,Hispanic
724,0,33149,USED,11.86,111.8,38,38,0,,84,100,4,100,3,,43,50,3,1,,0,3,0,100,0,68,,4,,0,1,1,,,,,,,,0,Male,Hispanic
861,1,18769,USED,5.11,74.35,9,1,0,,9,100,44,0,10,,226,0,196,1,,8,196,2,100,2,153,134,13,1,0,1,1,,,,,,,,0,Male,White
661,1,16869,USED,6.88,96.38,,,0,,36,100,45,67,2,,16,0,117,1,,,,1,67,,58,73,3,1,0,400,1,,,,,,,,0,Female,White
817,1,45513,USED,5.7,101.14,58,17,0,79,92,100,37,23,16,,168,0,183,1,,0,66,7,100,5,107,82,32,1,0,1,1,,,,,,,,0,Male,White
565,1,27326,USED,11.85,104.9,58,22,5,,144,86,33,40,1,16,37,20,117,30,26,,1,2,57,0,44,104,3,120,0,400,1,0,0,,,,,0,1,Female,White
579,1,29066,USED,11.01,99.2,2,1,2,,98,88,7,100,5,,21,7,71,1,,0,,0,31,0,48,,5,,0,400,1,0,0,1839,,,,0,0,Female,White
616,0,30199,NEW,6.49,117.96,101,84,0,91,101,96,9,20,19,79,18,36,117,30,,26,93,13,96,0,20,111,33,1,0,120,400,2,2,,,,,0,0,Female,White
833,1,22970,USED,7.14,75.88,44,5,0,,44,100,23,0,30,,157,0,112,1,,17,,1,100,15,133,112,33,1,0,1,1,,,,,,,,0,Male,Hispanic
835,1,36811,NEW,14.99,83.77,4,3,0,,71,100,42,0,12,,93,0,103,1,,0,,5,100,1,67,103,20,1,0,1,1,,,,,,,,0,Male,White
708,0,28187,NEW,8.79,75.22,100,58,0,,100,100,68,0,35,,128,0,179,1,,38,58,1,100,7,108,179,40,1,0,1,1,,,,,,,,0,Female,White
784,1,49259,NEW,12.64,99.94,0,0,0,,74,100,96,100,2,,80,0,81,1,,,,0,100,0,74,,2,,0,1,1,,,,,,,,0,Male,White
678,1,67203,USED,10.84,94.31,55,50,0,3,106,100,29,62,8,14,35,13,92,1,14,11,17,2,88,1,45,74,14,30,0,90,1,1,1,,,,,0,0,Male,Black
673,1,17998.84,USED,12.31,129.72,103,96,0,71,103,100,20,33,6,,59,20,134,1,,0,8,1,100,0,36,18,9,1,0,1,1,1,1,,,,,1,0,Female,Black
596,1,24873,USED,5.82,104.4,34,17,8,19,34,67,14,50,2,2,22,0,104,1,2,,,2,67,0,34,104,2,400,0,400,30,,,,,,,,0,Male,Hispanic
622,1,12509,USED,5.72,91.31,45,41,0,,45,86,1,0,6,,9,80,63,1,,33,63,0,86,0,12,,7,,0,400,1,1,2,,,,,1,0,Female,White
698,1,10009,USED,2.98,122.06,95,70,0,93,101,100,2,25,11,16,20,33,170,30,,48,4,3,96,0,21,67,30,1,0,30,1,1,1,,,,,0,0,Male,White
681,1,28694,USED,9.18,104.03,65,14,42,81,81,93,1,20,11,17,25,18,93,400,,2,15,3,87,0,48,53,17,400,0,400,1,0,0,,,,,0,0,Male,Hispanic
621,1,28891,NEW,10.42,96,0,,0,,163,83,69,61,3,12,18,5,115,30,12,0,3,2,23,0,67,87,11,60,0,400,30,0,0,,,,,0,0,Female,White
783,1,63033,NEW,7.97,117.67,23,17,0,85,112,100,18,82,7,,80,8,55,1,,,,2,100,0,41,17,9,1,0,1,1,0,0,,,,,0,0,Female,White
619,1,28669,USED,8.71,119.31,30,19,98,10,30,67,21,20,5,,39,0,40,400,,30,10,1,75,1,23,40,9,1,1,400,400,1,1,,,,,1,0,Male,White
580,0,24880,USED,9.72,95.34,92,35,40,88,92,43,2,17,2,43,4,67,155,400,43,,83,4,38,0,47,63,4,400,0,400,1,,,,,,,,0,Female,Hispanic
724,1,25230,NEW,12.94,75.62,52,52,0,,52,100,65,0,1,,65,0,174,1,,,,0,100,1,120,,1,,0,1,1,,,,,,,,0,Male,White
570,0,15735,USED,6.93,58.79,97,97,60,,97,14,77,0,1,,77,0,83,1,,,77,1,14,0,23,83,4,400,0,400,400,,,,,,,,0,Female,White
711,1,18134,USED,9.52,102.89,68,68,0,,99,100,3,0,3,19,30,50,43,1,,0,,2,71,0,29,43,8,1,0,400,1,0,0,,,,,0,0,Female,White
645,0,32487,NEW,7.63,134.86,30,,0,80,91,29,91,9,2,39,12,33,146,1,39,30,7,5,33,,14,146,23,30,0,400,400,,,,,,,,0,Female,Other
811,1,12186,USED,8.02,101.97,62,14,0,,62,100,21,0,12,,116,14,140,1,,13,84,0,100,3,91,,13,,0,1,1,,,,,,,,0,Female,White
744,1,45377,USED,11.23,90.94,32,23,0,96,99,100,17,43,5,,31,43,25,1,,0,10,6,100,1,17,25,12,1,0,1,1,0,0,,,,,0,0,Male,White
698,1,29692,USED,10.62,89.99,97,95,0,20,112,70,15,22,5,66,16,14,284,1,,74,,2,73,0,72,64,7,1,0,400,400,,,,,,,,0,Female,White
583,0,28703,USED,9.48,113.9,7,7,0,92,101,13,22,50,1,4,17,0,38,400,8,0,,2,22,0,19,38,2,30,0,400,30,1,1,,,,,1,,Male,Hispanic
791,1,51346,USED,8.02,99.7,0,0,0,94,100,100,164,21,4,,164,60,97,1,,,49,11,100,1,35,85,21,1,0,1,1,,,,,,,,0,Male,White
646,1,44446,USED,12.07,117.43,93,93,0,63,93,75,19,67,4,14,30,40,105,1,16,0,5,2,44,0,39,86,5,60,0,120,1,3,3,2715,0,0,0,0,1,Female,Black
714,1,20029,NEW,13.63,94.86,0,0,,,0,50,16,,0,9,16,0,,30,,0,,0,0,0,21,,0,,0,30,30,,,,,,,,0,Female,Asian
696,1,26046,USED,11.84,109.67,76,66,0,29,84,100,19,75,8,,35,27,128,1,,21,128,3,100,1,33,103,12,1,0,1,1,,,,,,,,0,Male,White
636,0,33912,USED,7.14,104.34,97,93,0,,97,100,3,,3,,9,67,,1,,,,0,100,0,9,,3,,0,1,1,1,1,0,,,,0,1,Male,White
766,1,38965,USED,8.89,72.04,80,9,0,29,94,100,3,17,34,76,94,45,170,400,,0,57,3,100,4,66,170,43,1,0,400,1,,,,,,,,0,Male,Hispanic
803,1,30997,USED,4.11,108.96,42,22,0,67,100,93,36,36,9,46,105,8,144,1,,37,15,6,100,5,64,144,22,1,0,30,1,0,0,,,,,0,0,Female,Hispanic
